State,City
Alabama,Birmingham
Arizona,Phoenix
Arkansas,Fort Smith
California,Fresno
Colorado,Colorado Springs
Connecticut,Bridgeport
Maryland,Washington DC
Florida,Jacksonville
Georgia,Atlanta
Idaho,Boise
Illinois,Chicago
Indiana,Evansville
Iowa,Des Moines
Kansas,Goodland
Kentucky,Lexington
Louisiana,New Orleans
Maine,Caribou
Massachusetts,Boston
Michigan,Detroit
Minnesota,Duluth
Mississippi,Jackson
Missouri,Kansas City
Montana,Billings
Nebraska,Lincoln
Nevada,Reno
New Hampshire,Concord
New Jersey,Atlantic City
New Mexico,Albuquerque
New York,Albany
North Carolina,Asheville
North Dakota,Bismarck
Ohio,Akron Canton
Oklahoma,Oklahoma City
Oregon,Eugene
Pennsylvania,Allentown
Rhode Island,Rhode Island
South Carolina,Charleston
South Dakota,Rapid City
Tennessee,Chattanooga
Texas,Abilene
Utah,Salt Lake City
Vermont,Burlington
Virginia,Norfolk
Washington,Seattle
West Virginia,Charleston
Wisconsin,Green Bay
Wyoming,Casper
